"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
1,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_embedding",50,10,"fixed","flr_linear","gaussian","gaussian","embedding",500,500,0.370363015400492,0.0610323853871051,NA,NA,NA,NA,NA,0.535420000000001,267.71
3,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_embedding",50,10,"fixed","flr_square","gaussian","gaussian","embedding",500,500,0.791125103122049,0.250293131368808,NA,NA,NA,NA,NA,0.571438,285.719
2,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_embedding",50,10,"random","flr_linear","gaussian","gaussian","embedding",500,500,0.388294258263396,0.0896657862991857,NA,NA,NA,NA,NA,0.654018000000001,327.009000000001
4,"n_50_obs_10_obsmode_random_ymode_flr_square_score_gaussian_xnoise_gaussian_method_embedding",50,10,"random","flr_square","gaussian","gaussian","embedding",500,500,0.888859605380367,0.354694438363952,NA,NA,NA,NA,NA,0.646072,323.036
5,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_embedding",50,10,"fixed","flr_cube","gaussian","gaussian","embedding",500,500,0.884396681798622,0.277369841790292,NA,NA,NA,NA,NA,0.567946,283.973
7,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_laplace_xnoise_gaussian_method_embedding",50,10,"fixed","flr_linear","laplace","gaussian","embedding",500,500,0.432544925715528,0.126948319982635,NA,NA,NA,NA,NA,0.576627999999999,288.314
6,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_embedding",50,10,"random","flr_cube","gaussian","gaussian","embedding",500,500,1.01168387725931,0.459227359277871,NA,NA,NA,NA,NA,0.637258,318.629
8,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_laplace_xnoise_gaussian_method_embedding",50,10,"random","flr_linear","laplace","gaussian","embedding",500,500,0.457047712683251,0.138103165505334,NA,NA,NA,NA,NA,0.655141999999999,327.570999999999
9,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_laplace_xnoise_gaussian_method_embedding",50,10,"fixed","flr_square","laplace","gaussian","embedding",500,500,2.5290972966312,4.40890221099443,NA,NA,NA,NA,NA,0.561878,280.939
10,"n_50_obs_10_obsmode_random_ymode_flr_square_score_laplace_xnoise_gaussian_method_embedding",50,10,"random","flr_square","laplace","gaussian","embedding",500,500,2.86776444781239,4.52609164087125,NA,NA,NA,NA,NA,0.677104000000002,338.552000000001
11,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_laplace_xnoise_gaussian_method_embedding",50,10,"fixed","flr_cube","laplace","gaussian","embedding",500,500,2.70149183013199,4.95117024382915,NA,NA,NA,NA,NA,0.57689,288.445
12,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_laplace_xnoise_gaussian_method_embedding",50,10,"random","flr_cube","laplace","gaussian","embedding",500,500,3.02328790948743,4.3530466627393,NA,NA,NA,NA,NA,0.638234,319.117
13,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_gaussian_method_embedding",50,10,"fixed","flr_linear","t5","gaussian","embedding",500,500,0.386494854129219,0.102109995358917,NA,NA,NA,NA,NA,0.556805999999999,278.402999999999
14,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_t5_xnoise_gaussian_method_embedding",50,10,"random","flr_linear","t5","gaussian","embedding",500,500,0.403982818342237,0.105993141840033,NA,NA,NA,NA,NA,0.658268,329.134
15,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_t5_xnoise_gaussian_method_embedding",50,10,"fixed","flr_square","t5","gaussian","embedding",500,500,4.05754524860584,46.2346554192278,NA,NA,NA,NA,NA,0.562484,281.242
17,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_t5_xnoise_gaussian_method_embedding",50,10,"fixed","flr_cube","t5","gaussian","embedding",500,500,3.97616191871128,39.9524583835411,NA,NA,NA,NA,NA,0.563112,281.556
19,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gamma_xnoise_gaussian_method_embedding",50,10,"fixed","flr_linear","gamma","gaussian","embedding",500,500,0.37070128223545,0.0656830099108753,NA,NA,NA,NA,NA,0.563390000000001,281.695000000001
16,"n_50_obs_10_obsmode_random_ymode_flr_square_score_t5_xnoise_gaussian_method_embedding",50,10,"random","flr_square","t5","gaussian","embedding",500,500,1.75151207600708,3.15477613178158,NA,NA,NA,NA,NA,0.668408,334.204
18,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_t5_xnoise_gaussian_method_embedding",50,10,"random","flr_cube","t5","gaussian","embedding",500,500,1.86767424752957,3.47259721150986,NA,NA,NA,NA,NA,0.637518000000001,318.759
20,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_gamma_xnoise_gaussian_method_embedding",50,10,"random","flr_linear","gamma","gaussian","embedding",500,500,0.403431782053764,0.103856331935918,NA,NA,NA,NA,NA,0.662092000000001,331.046000000001
21,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gamma_xnoise_gaussian_method_embedding",50,10,"fixed","flr_square","gamma","gaussian","embedding",500,500,1.15541510206725,1.28702548129311,NA,NA,NA,NA,NA,0.566417999999999,283.209
23,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gamma_xnoise_gaussian_method_embedding",50,10,"fixed","flr_cube","gamma","gaussian","embedding",500,500,1.42552184224162,1.6467937030541,NA,NA,NA,NA,NA,0.571316000000001,285.658000000001
25,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_embedding",50,10,"fixed","flr_linear","gaussian","t3","embedding",500,500,0.607179021972368,0.108740737811369,NA,NA,NA,NA,NA,0.537636,268.818
24,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_gamma_xnoise_gaussian_method_embedding",50,10,"random","flr_cube","gamma","gaussian","embedding",500,500,1.85962223277787,3.15193247351345,NA,NA,NA,NA,NA,0.615199999999999,307.6
22,"n_50_obs_10_obsmode_random_ymode_flr_square_score_gamma_xnoise_gaussian_method_embedding",50,10,"random","flr_square","gamma","gaussian","embedding",500,500,1.50736824767709,2.61014369415692,NA,NA,NA,NA,NA,0.664840000000001,332.42
27,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_embedding",50,10,"fixed","flr_square","gaussian","t3","embedding",500,500,1.77360243379798,0.75958411148425,NA,NA,NA,NA,NA,0.523804,261.902
26,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_gaussian_xnoise_t3_method_embedding",50,10,"random","flr_linear","gaussian","t3","embedding",500,500,0.60215184864808,0.14880789980028,NA,NA,NA,NA,NA,0.613502,306.751
28,"n_50_obs_10_obsmode_random_ymode_flr_square_score_gaussian_xnoise_t3_method_embedding",50,10,"random","flr_square","gaussian","t3","embedding",500,500,1.87863855731252,0.941093784235173,NA,NA,NA,NA,NA,0.639392,319.696
29,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_t3_method_embedding",50,10,"fixed","flr_cube","gaussian","t3","embedding",500,500,2.11656505214864,0.909833117907211,NA,NA,NA,NA,NA,0.568252,284.126
31,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_laplace_xnoise_t3_method_embedding",50,10,"fixed","flr_linear","laplace","t3","embedding",500,500,0.705571799172638,0.167400431313177,NA,NA,NA,NA,NA,0.515844,257.922
30,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_gaussian_xnoise_t3_method_embedding",50,10,"random","flr_cube","gaussian","t3","embedding",500,500,2.22300222932482,1.09665460803248,NA,NA,NA,NA,NA,0.63081,315.405
33,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_laplace_xnoise_t3_method_embedding",50,10,"fixed","flr_square","laplace","t3","embedding",500,500,4.93384304353238,4.60506315052011,NA,NA,NA,NA,NA,0.48847,244.235
32,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_laplace_xnoise_t3_method_embedding",50,10,"random","flr_linear","laplace","t3","embedding",500,500,0.701641856022113,0.229317662073152,NA,NA,NA,NA,NA,0.663346,331.673
37,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_t3_method_embedding",50,10,"fixed","flr_linear","t5","t3","embedding",500,500,0.638435512475883,0.17246862070156,NA,NA,NA,NA,NA,0.477140000000001,238.57
35,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_laplace_xnoise_t3_method_embedding",50,10,"fixed","flr_cube","laplace","t3","embedding",500,500,5.41312516361092,4.84818558226616,NA,NA,NA,NA,NA,0.523632,261.816
39,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_t5_xnoise_t3_method_embedding",50,10,"fixed","flr_square","t5","t3","embedding",500,500,5.78746482523871,22.098268658636,NA,NA,NA,NA,NA,0.51558,257.79
34,"n_50_obs_10_obsmode_random_ymode_flr_square_score_laplace_xnoise_t3_method_embedding",50,10,"random","flr_square","laplace","t3","embedding",500,500,5.29313594498383,5.38452129431009,NA,NA,NA,NA,NA,0.638258,319.129
36,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_laplace_xnoise_t3_method_embedding",50,10,"random","flr_cube","laplace","t3","embedding",500,500,5.60732725506627,5.61308588530034,NA,NA,NA,NA,NA,0.615706,307.853
38,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_t5_xnoise_t3_method_embedding",50,10,"random","flr_linear","t5","t3","embedding",500,500,0.648894516969538,0.255504929578987,NA,NA,NA,NA,NA,0.664274,332.137
41,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_t5_xnoise_t3_method_embedding",50,10,"fixed","flr_cube","t5","t3","embedding",500,500,6.14147765752945,23.020635773804,NA,NA,NA,NA,NA,0.521548,260.774
40,"n_50_obs_10_obsmode_random_ymode_flr_square_score_t5_xnoise_t3_method_embedding",50,10,"random","flr_square","t5","t3","embedding",500,500,6.30726892580338,40.5821158799077,NA,NA,NA,NA,NA,0.58744,293.72
42,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_t5_xnoise_t3_method_embedding",50,10,"random","flr_cube","t5","t3","embedding",500,500,6.30764638277179,34.8305818619424,NA,NA,NA,NA,NA,0.621666,310.833
43,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gamma_xnoise_t3_method_embedding",50,10,"fixed","flr_linear","gamma","t3","embedding",500,500,0.603398894661498,0.133462883150243,NA,NA,NA,NA,NA,0.556492,278.246
45,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gamma_xnoise_t3_method_embedding",50,10,"fixed","flr_square","gamma","t3","embedding",500,500,2.61019375364954,2.70001783491566,NA,NA,NA,NA,NA,0.488948,244.474
47,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gamma_xnoise_t3_method_embedding",50,10,"fixed","flr_cube","gamma","t3","embedding",500,500,3.61769267942865,3.50292160040167,NA,NA,NA,NA,NA,0.478216000000001,239.108000000001
44,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_gamma_xnoise_t3_method_embedding",50,10,"random","flr_linear","gamma","t3","embedding",500,500,0.604479461669339,0.157842389678288,NA,NA,NA,NA,NA,0.632806,316.403
46,"n_50_obs_10_obsmode_random_ymode_flr_square_score_gamma_xnoise_t3_method_embedding",50,10,"random","flr_square","gamma","t3","embedding",500,500,2.92392019997861,3.14778261498493,NA,NA,NA,NA,NA,0.674498,337.249
48,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_gamma_xnoise_t3_method_embedding",50,10,"random","flr_cube","gamma","t3","embedding",500,500,4.00777312521679,4.0802469898057,NA,NA,NA,NA,NA,0.631879999999999,315.94
51,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gamma_method_embedding",50,10,"fixed","flr_square","gaussian","gamma","embedding",500,500,0.783702122803989,0.209335670248688,NA,NA,NA,NA,NA,0.477824,238.912
49,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gamma_method_embedding",50,10,"fixed","flr_linear","gaussian","gamma","embedding",500,500,0.367916827234428,0.0621335324460788,NA,NA,NA,NA,NA,0.529292,264.646
50,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_gaussian_xnoise_gamma_method_embedding",50,10,"random","flr_linear","gaussian","gamma","embedding",500,500,0.394862611484881,0.0861479701348735,NA,NA,NA,NA,NA,0.592774000000001,296.387
52,"n_50_obs_10_obsmode_random_ymode_flr_square_score_gaussian_xnoise_gamma_method_embedding",50,10,"random","flr_square","gaussian","gamma","embedding",500,500,0.885885785366935,0.374484036521762,NA,NA,NA,NA,NA,0.630516,315.258
53,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gamma_method_embedding",50,10,"fixed","flr_cube","gaussian","gamma","embedding",500,500,0.879595610493418,0.233821921308852,NA,NA,NA,NA,NA,0.478348,239.174
55,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_laplace_xnoise_gamma_method_embedding",50,10,"fixed","flr_linear","laplace","gamma","embedding",500,500,0.431215668504604,0.0905073047852805,NA,NA,NA,NA,NA,0.534742000000001,267.371
57,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_laplace_xnoise_gamma_method_embedding",50,10,"fixed","flr_square","laplace","gamma","embedding",500,500,2.55885272906775,3.81814961673838,NA,NA,NA,NA,NA,0.493013999999999,246.507
54,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_gaussian_xnoise_gamma_method_embedding",50,10,"random","flr_cube","gaussian","gamma","embedding",500,500,0.969367762329162,0.406637880890397,NA,NA,NA,NA,NA,0.635162000000001,317.581
56,"n_50_obs_10_obsmode_random_ymode_flr_linear_score_laplace_xnoise_gamma_method_embedding",50,10,"random","flr_linear","laplace","gamma","embedding",500,500,0.455783090213578,0.141192614105825,NA,NA,NA,NA,NA,0.596708,298.354
59,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_laplace_xnoise_gamma_method_embedding",50,10,"fixed","flr_cube","laplace","gamma","embedding",500,500,2.70322273719122,3.73054290743722,NA,NA,NA,NA,NA,0.486604000000001,243.302
61,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_gamma_method_embedding",50,10,"fixed","flr_linear","t5","gamma","embedding",500,500,0.380614028491648,0.0765719649623414,NA,NA,NA,NA,NA,0.490924,245.462
58,"n_50_obs_10_obsmode_random_ymode_flr_square_score_laplace_xnoise_gamma_method_embedding",50,10,"random","flr_square","laplace","gamma","embedding",500,500,2.83383449549505,3.53490000751977,NA,NA,NA,NA,NA,0.638692000000001,319.346000000001
60,"n_50_obs_10_obsmode_random_ymode_flr_cube_score_laplace_xnoise_gamma_method_embedding",50,10,"random","flr_cube","laplace","gamma","embedding",500,500,2.86057666183371,3.13007949531208,NA,NA,NA,NA,NA,0.643039999999999,321.52
